image_path,true,pred,top1,top2
data/balanced_augmented_dataset/test/Greenstick/Greenstick_13_mri_0_5388_jpeg.rf.d1d46273fa017058bcc9f46082f918b9_0012.jpg,1,0,0,0
data/balanced_augmented_dataset/test/Oblique/Oblique_9_jpg.rf.4a2eecbaf02555d48ef01a5e9f9932e8_0005.jpg,3,0,0,0
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_126_jpg.rf.0817bf53fcdec596783e0c6dcc5d7d50_0007.jpg,4,1,1,1
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_185_jpg.rf.296574d4d73b3b275f98485e55929b36_0015.jpg,4,1,1,1
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_91_jpg.rf.1f659d563a72001008a4cb4e1e1ac122_0000.jpg,4,1,1,1
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_63_jpg.rf.c698f6c8c2ba783c371de27e0ca0ea04_0011.jpg,4,0,0,0
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_52_jpg.rf.19ca51e05ef80f6e534a232fb6d9f2f7_0002.jpg,4,0,0,0
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_134_jpg.rf.afc3aa7bb9317657032c1dd9ad21bb58_0001.jpg,4,0,0,0
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_16_jpg.rf.58205b8491b7ddc98278f4a39eb42bd4_0003.jpg,4,6,6,6
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_216_jpg.rf.09c682c0a1a75e88eafc00c803df046d_0013.jpg,4,0,0,0
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_62_jpg.rf.f047a0d102d9314c2c7a2b8ddc83d6a4_0016.jpg,4,0,0,0
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_5_jpg.rf.d4f1d168998b27496281d8000f5b56bf_0006.jpg,4,1,1,1
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_51_jpg.rf.6163f82a04ac7d9d186954f7e45adb1b_0005.jpg,4,1,1,1
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_26_jpg.rf.9fd8e961b12f19ff793e75331f9b7753_0004.jpg,4,3,3,3
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_52_jpg.rf.820332e1fecaaa6f3b4f627380098c96_0010.jpg,4,0,0,0
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_15_jpg.rf.5375438e888d9920b659ec4d1e6ada9c_0014.jpg,4,3,3,3
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_97_jpg.rf.6fa1275bfbe9a10964859947ff34aa27_0009.jpg,4,1,1,1
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_153_jpg.rf.377dd7ac02acd51e04cd3613b0816efe_0008.jpg,4,1,1,1
