image_path,true,pred,top1,top2
data/balanced_augmented_dataset/test/Comminuted/Comminuted_33_jpg.rf.2b244a108121167e42a7ad1ced5b5fbf_0008.jpg,0,3,3,3
data/balanced_augmented_dataset/test/Oblique/Oblique_118_jpg.rf.72929bd6691255afdb8fc24ca780cf41_0003.jpg,3,4,4,4
data/balanced_augmented_dataset/test/Oblique/Oblique_127_jpg.rf.6158ee3ab5d75c90f62291de080d94ef_0007.jpg,3,4,4,4
data/balanced_augmented_dataset/test/Oblique/Oblique_9_jpg.rf.c1d673b11288ec8a2607ded019f37d9d_0008.jpg,3,4,4,4
data/balanced_augmented_dataset/test/Oblique/Oblique_48_jpg.rf.5816c24c7d39b49b0074807e13a159f1_0001.jpg,3,4,4,4
data/balanced_augmented_dataset/test/Oblique/Oblique_9_jpg.rf.4a2eecbaf02555d48ef01a5e9f9932e8_0005.jpg,3,6,6,6
data/balanced_augmented_dataset/test/Oblique/Oblique_127_jpg.rf.317404e014bd1e9eb0e8de43d9aa427a_0000.jpg,3,4,4,4
data/balanced_augmented_dataset/test/Oblique/Oblique_118_jpg.rf.003d7f30da7698ba2b8689147570afe8_0002.jpg,3,4,4,4
data/balanced_augmented_dataset/test/Oblique/Oblique_11_jpg.rf.345c6a6acdc33a82b8f35c0c67a2c97a_0006.jpg,3,4,4,4
data/balanced_augmented_dataset/test/Oblique/Oblique_246_jpg.rf.5761ae00666b864051b675665c155d87_0004.jpg,3,4,4,4
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_126_jpg.rf.0817bf53fcdec596783e0c6dcc5d7d50_0007.jpg,4,3,3,3
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_185_jpg.rf.296574d4d73b3b275f98485e55929b36_0015.jpg,4,6,6,6
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_91_jpg.rf.1f659d563a72001008a4cb4e1e1ac122_0000.jpg,4,3,3,3
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_63_jpg.rf.c698f6c8c2ba783c371de27e0ca0ea04_0011.jpg,4,3,3,3
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_52_jpg.rf.19ca51e05ef80f6e534a232fb6d9f2f7_0002.jpg,4,3,3,3
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_134_jpg.rf.afc3aa7bb9317657032c1dd9ad21bb58_0001.jpg,4,6,6,6
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_16_jpg.rf.58205b8491b7ddc98278f4a39eb42bd4_0003.jpg,4,3,3,3
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_216_jpg.rf.09c682c0a1a75e88eafc00c803df046d_0013.jpg,4,1,1,1
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_62_jpg.rf.f047a0d102d9314c2c7a2b8ddc83d6a4_0016.jpg,4,3,3,3
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_5_jpg.rf.d4f1d168998b27496281d8000f5b56bf_0006.jpg,4,6,6,6
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_51_jpg.rf.6163f82a04ac7d9d186954f7e45adb1b_0005.jpg,4,3,3,3
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_52_jpg.rf.820332e1fecaaa6f3b4f627380098c96_0010.jpg,4,3,3,3
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_15_jpg.rf.5375438e888d9920b659ec4d1e6ada9c_0014.jpg,4,3,3,3
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_97_jpg.rf.6fa1275bfbe9a10964859947ff34aa27_0009.jpg,4,3,3,3
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_153_jpg.rf.377dd7ac02acd51e04cd3613b0816efe_0008.jpg,4,6,6,6
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_162_jpg.rf.ac30e1cc085a0f7de3053f1a155fde2d_0012.jpg,4,3,3,3
data/balanced_augmented_dataset/test/Transverse/Transverse_153_jpg.rf.91253b9d931b8762dab5296394d4bfd7_0002.jpg,6,7,7,7
data/balanced_augmented_dataset/test/Transverse/Transverse_25_jpg.rf.bb03d4240f0831634da2122308b59ca2_0000.jpg,6,7,7,7
data/balanced_augmented_dataset/test/Transverse/Transverse_13_jpg.rf.3301a0994bf342b0bac5aec93ee08ead_0012.jpg,6,7,7,7
data/balanced_augmented_dataset/test/Transverse/Transverse_18_jpg.rf.5bdf9ce282f638a93067bb5348dad9cb_0015.jpg,6,7,7,7
data/balanced_augmented_dataset/test/Transverse/Transverse_190_jpg.rf.2512cf7390e6033b13f5e7acacec3c82_0016.jpg,6,7,7,7
data/balanced_augmented_dataset/test/Transverse/Transverse_86_jpg.rf.b8e18505035a64082a0c06ee4ed33db6_0014.jpg,6,3,3,3
data/balanced_augmented_dataset/test/Transverse/Transverse_229_jpg.rf.1681cd6adb482bda78ae6a54bfb332fe_0011.jpg,6,7,7,7
data/balanced_augmented_dataset/test/Transverse/Transverse_61_jpg.rf.08c73461942709a66fe7a8691efe01f4_0004.jpg,6,7,7,7
data/balanced_augmented_dataset/test/Transverse/Transverse_153_jpg.rf.08e1a53f8b4c40907f0f20362078debc_0007.jpg,6,7,7,7
data/balanced_augmented_dataset/test/Transverse/Transverse_98_jpg.rf.37df8365902d69eb73efc7553cd5443f_0009.jpg,6,7,7,7
data/balanced_augmented_dataset/test/Transverse/Transverse_25_jpg.rf.c4f3ba33330278f02337266734983536_0003.jpg,6,7,7,7
data/balanced_augmented_dataset/test/Transverse/Transverse_23_jpg.rf.9871416a240e834cf9c0d4daa5f79460_0006.jpg,6,7,7,7
data/balanced_augmented_dataset/test/Transverse/Transverse_1_jpg.rf.ad0984cd8194a2b2580ab2b9198b41da_0005.jpg,6,7,7,7
data/balanced_augmented_dataset/test/Transverse/Transverse_1_jpg.rf.7cb5b0dcc7238ca93c479d93284daa01_0008.jpg,6,7,7,7
data/balanced_augmented_dataset/test/Transverse/Transverse_15_jpg.rf.790af0f8086e2c9f31f49d4a99e32a5f_0010.jpg,6,7,7,7
data/balanced_augmented_dataset/test/Transverse/Transverse_61_jpg.rf.9b078c080ce18d406062750d59d369de_0001.jpg,6,7,7,7
data/balanced_augmented_dataset/test/Transverse/Transverse_190_jpg.rf.597ca50b2be413d2d9ec264f0aa77843_0013.jpg,6,7,7,7
data/balanced_augmented_dataset/test/Transverse_Displaced/Transverse_Displaced_69_jpg.rf.2719c75f64f1281b6d2fde87672137b5_0015.jpg,7,3,3,3
data/balanced_augmented_dataset/test/Transverse_Displaced/Transverse_Displaced_29_jpg.rf.e58e5474c3bfe22386d7fc8ff275812a_0014.jpg,7,6,6,6
data/balanced_augmented_dataset/test/Transverse_Displaced/Transverse_Displaced_122_jpg.rf.0098daba0e5d1d4e575c91f2482b8649_0000.jpg,7,1,1,1
data/balanced_augmented_dataset/test/Transverse_Displaced/Transverse_Displaced_58_jpg.rf.e57b879814d534f08d75dc5b34737dcd_0004.jpg,7,0,0,0
data/balanced_augmented_dataset/test/Transverse_Displaced/Transverse_Displaced_149_jpg.rf.db6198d03b6a213a007469309023a78b_0016.jpg,7,6,6,6
